"","Overall","taxa"
"Pseudomonas.pseudoalcaligenes",0.00739837216197907,"Pseudomonas.pseudoalcaligenes"
"Acinetobacter.johnsonii",0.00591915450603642,"Acinetobacter.johnsonii"
"Corynebacterium.simulans",0.0053209400122649,"Corynebacterium.simulans"
"Staphylococcus.pasteuri",0.00444534142484896,"Staphylococcus.pasteuri"
"Corynebacterium.aurimucosum",0.00434202164888888,"Corynebacterium.aurimucosum"
"Acinetobacter.schindleri",0.00417404080097995,"Acinetobacter.schindleri"
"Moraxella.osloensis",0.00380360429800939,"Moraxella.osloensis"
"Propionibacterium.sp..oral.taxon.193",0.00378556639879993,"Propionibacterium.sp..oral.taxon.193"
"Staphylococcus.haemolyticus",0.00362426761624106,"Staphylococcus.haemolyticus"
"Aerococcus.viridans",0.00352297037377034,"Aerococcus.viridans"
"Dermacoccus.nishinomiyaensis",0.0033162138293127,"Dermacoccus.nishinomiyaensis"
"Corynebacterium.kroppenstedtii",0.00323677586903931,"Corynebacterium.kroppenstedtii"
"Deinococcus.swuensis",0.00322770156840135,"Deinococcus.swuensis"
"Sugiyamaella.lignohabitans",0.0031622175734711,"Sugiyamaella.lignohabitans"
"Staphylococcus.capitis",0.0030595407476324,"Staphylococcus.capitis"
"Theileria.orientalis",0.00295740439585369,"Theileria.orientalis"
"Acinetobacter.junii",0.00287469181997174,"Acinetobacter.junii"
"Gordonia.bronchialis",0.00282633272812797,"Gordonia.bronchialis"
"Hymenobacter.sedentarius",0.00278820470199719,"Hymenobacter.sedentarius"
"Staphylococcus.lugdunensis",0.00257642606574404,"Staphylococcus.lugdunensis"
"Cutibacterium.granulosum",0.00243586688120584,"Cutibacterium.granulosum"
"Thermothelomyces.thermophila",0.00232468030817035,"Thermothelomyces.thermophila"
"Corynebacterium.sp..NML98.0116",0.00211452415390875,"Corynebacterium.sp..NML98.0116"
"Kluyveromyces.lactis",0.00210371995443309,"Kluyveromyces.lactis"
"Kocuria.palustris",0.00209726257351089,"Kocuria.palustris"
"Psychrobacter.cryohalolentis",0.00209498751384544,"Psychrobacter.cryohalolentis"
"Cutibacterium.avidum",0.00207447995858449,"Cutibacterium.avidum"
"Corynebacterium.singulare",0.00205501530298266,"Corynebacterium.singulare"
"Spirosoma.sp..HA7",0.00203725386558639,"Spirosoma.sp..HA7"
"Leuconostoc.mesenteroides",0.00199751739972737,"Leuconostoc.mesenteroides"
"Shewanella.sp..FDAARGOS_354",0.00199734679997981,"Shewanella.sp..FDAARGOS_354"
"Staphylococcus.epidermidis",0.00199665787229916,"Staphylococcus.epidermidis"
"Leuconostoc.carnosum",0.00198781400084417,"Leuconostoc.carnosum"
"Corynebacterium.casei",0.00198329391740695,"Corynebacterium.casei"
"Corynebacterium.halotolerans",0.00191591768884811,"Corynebacterium.halotolerans"
"Hymenobacter.sp..PAMC.26628",0.00185615063127768,"Hymenobacter.sp..PAMC.26628"
"Aerococcus.urinaeequi",0.00176188478896681,"Aerococcus.urinaeequi"
"Haemophilus.parainfluenzae",0.00175915609248048,"Haemophilus.parainfluenzae"
"Sphingomonas.taxi",0.00174774663848758,"Sphingomonas.taxi"
"Corynebacterium.ureicelerivorans",0.00169453666398064,"Corynebacterium.ureicelerivorans"
"Corynebacterium.jeikeium",0.0016935033971313,"Corynebacterium.jeikeium"
"Candida.dubliniensis",0.00169310186780898,"Candida.dubliniensis"
"Actinomyces.oris",0.00165310443910707,"Actinomyces.oris"
"Sphingomonas.melonis",0.00155383280478835,"Sphingomonas.melonis"
"Staphylococcus.aureus",0.00153241858613419,"Staphylococcus.aureus"
"Leishmania.major",0.00151853480132374,"Leishmania.major"
"Modestobacter.marinus",0.0014797109345456,"Modestobacter.marinus"
"Microlunatus.phosphovorus",0.00147463102965196,"Microlunatus.phosphovorus"
"Acidipropionibacterium.acidipropionici",0.00146899190238202,"Acidipropionibacterium.acidipropionici"
"Nakamurella.multipartita",0.00145194717913078,"Nakamurella.multipartita"
"Corynebacterium.striatum",0.00145000577121133,"Corynebacterium.striatum"
"Gardnerella.vaginalis",0.00140612406952604,"Gardnerella.vaginalis"
"Mycobacterium.kansasii",0.00132624363729853,"Mycobacterium.kansasii"
"Sphingomonas.sanxanigenens",0.00130721184805658,"Sphingomonas.sanxanigenens"
"Rhodococcus.sp..008",0.00129010873058523,"Rhodococcus.sp..008"
"Erythrobacter.litoralis",0.00125933135927994,"Erythrobacter.litoralis"
"Kytococcus.sedentarius",0.0011643008024277,"Kytococcus.sedentarius"
"Deinococcus.puniceus",0.00115735830557959,"Deinococcus.puniceus"
"Microbacterium.sp..XT11",0.00115669438166387,"Microbacterium.sp..XT11"
"Rhodococcus.sp..PBTS.1",0.00115286717322161,"Rhodococcus.sp..PBTS.1"
"Variovorax.boronicumulans",0.00112051762295068,"Variovorax.boronicumulans"
"Methylobacterium.extorquens",0.00111231752054204,"Methylobacterium.extorquens"
"Hymenobacter.sp..PAMC.26554",0.00109706977928314,"Hymenobacter.sp..PAMC.26554"
"Psychrobacter.sp..DAB_AL43B",0.00106556205829314,"Psychrobacter.sp..DAB_AL43B"
"Nocardioides.sp..JS614",0.0010599900858278,"Nocardioides.sp..JS614"
"Listeria.monocytogenes",0.00105985683016465,"Listeria.monocytogenes"
"Psychrobacter.sp..G",0.00105732529490222,"Psychrobacter.sp..G"
"Kluyveromyces.marxianus",0.00104057333145441,"Kluyveromyces.marxianus"
"Eremothecium.gossypii",0.00103951588103593,"Eremothecium.gossypii"
"Rhizobacter.gummiphilus",0.0010318392192376,"Rhizobacter.gummiphilus"
"Staphylococcus.saprophyticus",0.00100897937022934,"Staphylococcus.saprophyticus"
"Thielavia.terrestris",0.00100472338501096,"Thielavia.terrestris"
"Tetragenococcus.halophilus",0.000998727846192805,"Tetragenococcus.halophilus"
"Microbacterium.sp..PAMC.28756",0.000993345632392248,"Microbacterium.sp..PAMC.28756"
"Finegoldia.magna",0.000984921851259181,"Finegoldia.magna"
"Sphingobium.yanoikuyae",0.000972079834293998,"Sphingobium.yanoikuyae"
"Sphingomonas.sp..Cra20",0.000971938610332658,"Sphingomonas.sp..Cra20"
"Nocardioides.dokdonensis",0.000961532073645281,"Nocardioides.dokdonensis"
"Roseomonas.sp..FDAARGOS_362",0.000944124665803784,"Roseomonas.sp..FDAARGOS_362"
"Planctomyces.sp..SH.PL62",0.000917763718698154,"Planctomyces.sp..SH.PL62"
"Mycobacterium.chimaera",0.000899024499178219,"Mycobacterium.chimaera"
"Bacillus.subtilis",0.000898689510536579,"Bacillus.subtilis"
"Actinomyces.sp..oral.taxon.414",0.000884369485744175,"Actinomyces.sp..oral.taxon.414"
"Variovorax.paradoxus",0.00087935803183678,"Variovorax.paradoxus"
"Psychrobacter.arcticus",0.000871147417652784,"Psychrobacter.arcticus"
"Cellulomonas.gilvus",0.000864113678711122,"Cellulomonas.gilvus"
"Lactococcus.lactis",0.000832415225207605,"Lactococcus.lactis"
"Arthrobacter.sp..LS16",0.000829442957691242,"Arthrobacter.sp..LS16"
"Conexibacter.woesei",0.000790628508031571,"Conexibacter.woesei"
"Actinoplanes.friuliensis",0.000787689010157511,"Actinoplanes.friuliensis"
"Phaeobacter.piscinae",0.000785793233389832,"Phaeobacter.piscinae"
"Geodermatophilus.obscurus",0.000765135498344405,"Geodermatophilus.obscurus"
"Rhodococcus.jostii",0.000760485375053566,"Rhodococcus.jostii"
"Rhodococcus.erythropolis",0.000748559867363213,"Rhodococcus.erythropolis"
"Fusobacterium.nucleatum",0.000726721876361233,"Fusobacterium.nucleatum"
"Paracoccus.contaminans",0.000726214868574106,"Paracoccus.contaminans"
"Agromyces.aureus",0.000724395616941905,"Agromyces.aureus"
"Confluentimicrobium.sp..EMB200.NS6",0.00071872101762603,"Confluentimicrobium.sp..EMB200.NS6"
"Sphingomonas.panacis",0.000716814680646693,"Sphingomonas.panacis"
"Actinomyces.sp..Chiba101",0.000703866467911396,"Actinomyces.sp..Chiba101"
"Actinosynnema.mirum",0.000703053653740321,"Actinosynnema.mirum"
"Ochrobactrum.anthropi",0.000697164697212451,"Ochrobactrum.anthropi"
"Rhodobacter.sp..LPB0142",0.000684495769658365,"Rhodobacter.sp..LPB0142"
"Novibacillus.thermophilus",0.000675892993954049,"Novibacillus.thermophilus"
"Streptococcus.sanguinis",0.00067386238615007,"Streptococcus.sanguinis"
"Clostridium.perfringens",0.000672120031245212,"Clostridium.perfringens"
"Staphylococcus.pettenkoferi",0.000671131394228583,"Staphylococcus.pettenkoferi"
