"","london_samples[, ""uuid""]","Pseudomonas.pseudoalcaligenes","Acinetobacter.johnsonii","Corynebacterium.simulans","Staphylococcus.pasteuri","Corynebacterium.aurimucosum","Acinetobacter.schindleri","Moraxella.osloensis","Propionibacterium.sp..oral.taxon.193","Staphylococcus.haemolyticus","Aerococcus.viridans","Dermacoccus.nishinomiyaensis","Corynebacterium.kroppenstedtii","Deinococcus.swuensis","Sugiyamaella.lignohabitans","Staphylococcus.capitis","Theileria.orientalis","Acinetobacter.junii","Gordonia.bronchialis","Hymenobacter.sedentarius","Staphylococcus.lugdunensis","Cutibacterium.granulosum","Thermothelomyces.thermophila","Corynebacterium.sp..NML98.0116","Kluyveromyces.lactis","Kocuria.palustris","Psychrobacter.cryohalolentis","Cutibacterium.avidum","Corynebacterium.singulare","Spirosoma.sp..HA7","Leuconostoc.mesenteroides","Shewanella.sp..FDAARGOS_354","Staphylococcus.epidermidis","Leuconostoc.carnosum","Corynebacterium.casei","Corynebacterium.halotolerans","Hymenobacter.sp..PAMC.26628","Aerococcus.urinaeequi","Haemophilus.parainfluenzae","Sphingomonas.taxi","Corynebacterium.ureicelerivorans","Corynebacterium.jeikeium","Candida.dubliniensis","Actinomyces.oris","Sphingomonas.melonis","Staphylococcus.aureus","Leishmania.major","Modestobacter.marinus","Microlunatus.phosphovorus","Acidipropionibacterium.acidipropionici","Nakamurella.multipartita","Corynebacterium.striatum","Gardnerella.vaginalis","Mycobacterium.kansasii","Sphingomonas.sanxanigenens","Rhodococcus.sp..008","Erythrobacter.litoralis","Kytococcus.sedentarius","Deinococcus.puniceus","Microbacterium.sp..XT11","Rhodococcus.sp..PBTS.1","Variovorax.boronicumulans","Methylobacterium.extorquens","Hymenobacter.sp..PAMC.26554","Psychrobacter.sp..DAB_AL43B","Nocardioides.sp..JS614","Listeria.monocytogenes","Psychrobacter.sp..G","Kluyveromyces.marxianus","Eremothecium.gossypii","Rhizobacter.gummiphilus","Staphylococcus.saprophyticus","Thielavia.terrestris","Tetragenococcus.halophilus","Microbacterium.sp..PAMC.28756","Finegoldia.magna","Sphingobium.yanoikuyae","Sphingomonas.sp..Cra20","Nocardioides.dokdonensis","Roseomonas.sp..FDAARGOS_362","Planctomyces.sp..SH.PL62","Mycobacterium.chimaera","Bacillus.subtilis","Actinomyces.sp..oral.taxon.414","Variovorax.paradoxus","Psychrobacter.arcticus","Cellulomonas.gilvus","Lactococcus.lactis","Arthrobacter.sp..LS16","Conexibacter.woesei","Actinoplanes.friuliensis","Phaeobacter.piscinae","Geodermatophilus.obscurus","Rhodococcus.jostii","Rhodococcus.erythropolis","Fusobacterium.nucleatum","Paracoccus.contaminans","Agromyces.aureus","Confluentimicrobium.sp..EMB200.NS6","Sphingomonas.panacis","Actinomyces.sp..Chiba101","Actinosynnema.mirum","Ochrobactrum.anthropi","Rhodobacter.sp..LPB0142","Novibacillus.thermophilus","Streptococcus.sanguinis","Clostridium.perfringens","Staphylococcus.pettenkoferi","Stenotrophomonas.sp..WZN.1","Acinetobacter.haemolyticus","Kineococcus.radiotolerans","Paenibacillus.xylanexedens","Candidatus.Solibacter.usitatus","Sporosarcina.psychrophila","Xanthomonas.campestris","Acinetobacter.sp..TTH0.4","Pseudomonas.aeruginosa","Leuconostoc.citreum","Rhodococcus.sp..PBTS.2","Streptomyces.griseochromogenes","Calothrix.sp..NIES.4071","Streptococcus.gordonii","Pimelobacter.simplex","Aminobacter.aminovorans","Rhizorhabdus.dicambivorans","Pseudarthrobacter.chlorophenolicus","Lawsonella.clevelandensis","Brucella.sp..141012304","Pseudomonas.mendocina","Enterococcus.faecalis","Burkholderia.pseudomallei","Streptomyces.globisporus","Fischerella.sp..NIES.3754","Sphingomonas.hengshuiensis","Microbacterium.paludicola","Deinococcus.gobiensis","Prevotella.jejuni","Rhodovulum.sp..P5","Hymenobacter.sp..APR13","Ochrobactrum.pseudogrignonense","Corynebacterium.ammoniagenes","Gemmatirosa.kalamazoonesis","Auricoccus.indicus","Truepera.radiovictrix","Lentzea.guizhouensis","Saccharomyces.cerevisiae","Corynebacterium.uterequi","Psychrobacter.sp..P2G3","Sphingopyxis.macrogoltabida","Jeotgalibaca.dankookensis","Streptomyces.sp..SCSIO.03032","Microbacterium.sp..No..7","Roseomonas.gilardii","Lactobacillus.fermentum","Bradyrhizobium.sp..SK17","Pseudomonas.protegens","Bifidobacterium.pseudolongum","Acidovorax.sp..T1","Delftia.sp..HK171","Sphingomonas.sp..KC8","Sphingobacterium.mizutaii","Shinella.sp..HZN7","Mesorhizobium.amorphae","Bosea.sp..AS.1","Croceicoccus.marinus","Bacillus.clausii","Mesorhizobium.australicum","Veillonella.parvula","Orrella.dioscoreae","Lysinibacillus.sphaericus","Nostoc.sp..NIES.3756","Laceyella.sp..FBKL4.010","Deinococcus.actinosclerus","Novosphingobium.sp..PP1Y","Pantoea.sp..At.9b","Staphylococcus.succinus","Pseudomonas.sp..ATCC.13867","Sphingomonas.wittichii","Hymenobacter.sp..DG25A","Corynebacterium.testudinoris","Streptococcus.pseudopneumoniae","Pseudomonas.fulva","Jeotgalibaca.sp..PTS2502","Hyphomicrobium.nitrativorans","Psychrobacter.sp..AntiMn.1","Mycobacterium.thermoresistibile","Rhodoplanes.sp..Z2.YC6860","Sphingomonas.sp..JJ.A5","Bordetella.genomosp..8","Aeromonas.sp..ASNIH3","Leclercia.adecarboxylata","Calothrix.sp..PCC.7507","Mycobacterium.sp..QIA.37","Thauera.humireducens","Massilia.putida","Devriesea.agamarum","Streptomyces.lydicus","Murdochiella.vaginalis","Xanthomonas.citri","Pantoea.vagans","Lysinibacillus.fusiformis"
"117","haib17CEM5080_H7VL7CCXY_SL267257",0.0035,0.02972,0.00041,0.00031,0.00044,0.00069,0.00256,0.00122,0.00045,5e-05,0.00494,3e-04,0.00035,0,0.00402,0.00011,0.00054,0.00059,0.00054,4e-04,0.0076,0.00097,0.00019,0,0.00255,8e-05,0.00104,0.00035,0.00014,1e-05,0,0.01296,0,0.00012,0,0.00089,6e-05,0.00093,0.00084,4e-04,0.00045,0.00083,0.00155,0.00023,0.03869,0.00082,0.0012,0.00055,0.00019,0.00041,0.00061,0.00046,0,0.00039,2e-05,0.00016,0.00073,1e-04,0,0.00021,0.00017,0.00035,0.00112,0,0.00113,0.03795,0,0.00017,0,0.00029,0.00027,6e-04,0,0.00023,0.00024,0.00026,0.00028,0.00121,0.00042,0,0,0.03683,0.00032,0.00057,0,0.00015,0.00047,0,0.00033,0.00014,0,0.00068,0,6e-05,1e-04,4e-04,0.00022,0,0.00032,0,0,5e-05,0.00011,1e-05,0.00044,0,6e-05,0,0.00055,0.00026,0,0,0,0.00063,5e-04,0.04804,7e-05,0.00063,0,0,0.00042,0.00082,0,0.00024,8e-05,7e-04,0,0.00043,0.03739,0,0,0,0.00025,2e-04,6e-05,5e-05,0,0.00081,0,0,0.00016,1e-05,8e-05,0.00016,0.00552,0,0,0.00017,0.00013,0.00011,0.00049,0.00019,0.03136,3e-04,8e-05,1e-05,0.00013,0,0,0,2e-04,0,0,0,0,0,0.00066,0,0,0,0,1e-04,0,5e-05,0.00016,0,0,0,0,0.00044,0,0,0,0,0.00015,0.00023,0,0,0,6e-05,0,0,1e-04,0.00066,0,0,0,0,6e-05,0
"118","haib17CEM5080_H7VL7CCXY_SL267259",0.00241,0.0141,0.00038,0.00022,0.00043,0.00052,0.00178,0.00082,2e-04,7e-05,0.00381,0.00049,0.00039,0,0.00147,0,0.00036,4e-04,0.00046,0.00024,0.00698,0.00091,0.00015,0,0.00163,0,0.00054,0.00049,0.00013,0.00013,0,0.00508,0,0,0,0.00086,0.00013,0.00063,0.00057,0.00078,0.00049,0.00072,0.00138,0.00015,0.04034,0.00055,0.00064,0.00054,0.00013,0.00027,0.00063,0.00018,0,0.00025,0,0,0.00053,0.00012,0,0,0.00037,0.00039,0.00133,0,0.0011,0.04371,0,0,0,0.00081,0.00015,0.00124,0,0,0.00019,0.00026,0,0.0011,0.00053,0,0,0.03932,0.00101,0.00107,0,0,0.00028,0,0.00031,0,0,0.00041,0,0.00017,8e-05,0.00027,0,0,0.00036,0,0,9e-05,0.00021,0,0.00021,0,0,0,0.00015,0.00034,0,0,0,0.00132,0.00016,0.06781,6e-05,0.00025,0,0,0.00031,0.00071,0,0,0,0.00076,0,0.00053,0.04269,0,0,0,0,0,0.00017,5e-05,0,0.00042,0,0,0,0,9e-05,0,0.00554,0,0,3e-04,5e-05,0,0,0.00022,0.03418,4e-04,2e-04,0,0.00016,0,0,0,0.00023,0,0,0.00015,0,0,0.00042,0,0,0,0,0,0,0,4e-05,0,0,0,0,0.00033,0,0,0,0,0,0,0,0,0,9e-05,0,6e-05,0,0.00044,0,0,0,0,0,0
"119","haib17CEM5080_H7VL7CCXY_SL267260",0.00042,0.00019,0,8e-05,0,0,0.00027,0,0,0,0.00202,0,0.00258,0.00662,9e-05,0.00458,0,0.00065,0.01556,0,0.00069,0.01762,0,0,0.00078,0,0.00046,0,0.00107,0,0,0.00066,0,0,0.00034,0.03926,0,0,0.00282,0.00018,0.00021,0.0156,0.00055,0.00112,0.00789,0.00827,0.00463,0.0026,0.00074,0.00251,5e-05,0,0.00255,0.00118,0,0.00098,0.00132,0.00048,0.00055,0.00141,0.00147,0.00706,0.24342,0,0.00564,0.008,0,0.00113,0,0.00093,0,0.00703,0,0.00079,0,0.00058,0.00085,0.00514,0.00247,0.00038,0,0.00768,0.00055,0.0035,0,0.00155,0.00011,0,0.00187,0.00228,0,0.00336,0.00039,0.00025,0,0.00056,0.00138,0.00034,0.00254,0.00042,5e-04,1e-04,0.00016,0,7e-05,0,0,0,0,0.01963,0,0,0,0.00079,0,0.01108,0,0.00038,0.00051,0,4e-05,0.0053,0.00043,0.00069,0.00068,0,0,4e-04,0.00705,0,0,0,0.00181,0.00056,0.00292,0,0.00024,0.01016,0,0,0.00092,0,0,0.00163,0.0024,0,0,0.00102,0,0.00107,0.00147,0.00266,0.00664,0.00169,0,1e-04,0,0,0.00063,0,0.00038,0.00055,0.00126,0.00051,0,0.00039,0.00012,0,0,0,0,0.00084,0,0,0,0,0,0.00207,0,4e-05,0,0,0,0,0.00073,0.00086,3e-04,0.00041,0,0,0,0,0,0.00068,0,0.00124,0,0,0,0
"120","haib17CEM5080_H7VL7CCXY_SL267263",5e-04,0.00025,5e-05,2e-05,0,6e-05,0.00023,9e-05,5e-05,0,0.00079,0,0.00137,0.00296,0.00016,0.0014,4e-05,0.00088,0.00953,0,0.00083,0.00443,0,0,5e-04,0,0.00036,0,0.00099,0,0,0.00045,0,0,0.00046,0.06354,0,6e-05,0.00586,2e-04,0.00022,0.00243,0.00065,0.00186,0.01156,0.00442,0.00459,0.00094,3e-04,0.00298,0,2e-05,0.00347,0.00305,0,0.00131,7e-04,0.00119,3e-04,0.00253,0.00128,0.00453,0.09121,0,0.00176,0.01207,0,0.00046,0,0.0013,4e-05,0.00535,0,0.00036,0,0.00111,0.00264,0.00202,0.00529,0.00077,0.00686,0.01135,0.00034,0.00304,0,0.00067,0.00821,0,0.00091,0.00166,0,0.00254,0.00089,0,8e-05,0.00074,0.00054,0.00053,0.00522,0,0.00072,0.00018,3e-04,0,0.00017,0,0,0,0,0.00178,0,0.00031,0,0.00106,0,0.01945,0,0.00037,0.00048,0,1e-04,0.00147,8e-04,0.00177,0.00056,7e-05,0,3e-04,0.01204,0.00053,0,0,0.00354,0.00037,0.00124,0,0.00028,0.00558,0,0,0.00047,0,0,0.00204,0.00189,0,0,0.00287,0,0.00061,0.00049,0.00507,0.00952,0.0019,0,0,0.00023,0,0.00099,0,0.00096,0.00084,0.00099,0.00115,0,5e-04,0.00013,0.00029,0,0,0,0.00043,0.00035,0,0,0.00033,5e-04,0.00151,0,0,0.00018,0,0.00032,0,0.00139,0.00121,0.00128,0.00052,0,5e-05,0,0.00035,0.00049,0.00078,0,0.00089,0,0,8e-05,0
"121","haib17CEM5106_HCCGHCCXY_SL270207",0.00188,0.01339,0.00109,0.00093,0.00228,0.00087,0.00723,0.00066,0.00815,0.00135,0.00236,0.0023,0.00176,0.00017,0.00265,0.00036,0.00105,0.00142,0.00162,0.00012,0.00264,0.00135,0.00065,0,0.01381,7e-05,0.00079,0.00191,0.00028,0.00022,0.00028,0.01203,5e-05,0.00027,0.00099,0.00102,0.00094,0.00196,0.00244,0.00532,0.00322,0.00123,0.00446,0.0011,0.00175,0.00121,0.00635,0.00599,0.00108,0.00273,0.00176,0.00165,0.00036,0.00097,5e-05,5e-04,0.00215,0.00065,0.00068,0.00124,0.00117,0.00105,0.00095,0.00012,0.0058,3e-05,2e-05,0.00042,5e-05,0.00052,0.00112,0.00094,1e-05,0.00127,0.0012,0.00123,0.00092,0.00545,0.00288,0.00017,4e-04,6e-05,0.00309,0.00267,2e-05,0.00122,0.00155,0.00014,0.00095,0.0013,0.00011,0.00405,0.00026,0.00032,0.00035,0.00279,0.00135,0.00028,0.00127,4e-04,0.00025,0.00022,0.00048,1e-05,0.00092,0.00011,0.00044,8e-05,0.00037,0.00213,0,5e-05,0,0.00096,0.00042,0.00057,5e-05,0.00071,0.00035,7e-05,0.00116,0.00453,0.00021,0.00048,0.00089,0.00039,0,0.00045,0.00012,0.00013,0.00017,8e-05,0.00116,0.00129,0.00053,0.00151,0.00024,0.00177,0,0.00019,0.00042,0.00033,0.00051,0.00079,0.00241,0.00032,1e-05,0.00077,2e-05,0.00062,0.00225,0.00088,2e-05,0.00028,0.00013,0.00015,0.00023,0.00012,0.00037,9e-05,0.00047,2e-04,0.00031,0.00039,2e-05,0.00015,0.00265,7e-05,0,7e-05,0,0.00021,0.00017,3e-05,0.00028,7e-05,0.00018,0.00025,0.00028,0.00054,2e-04,1e-05,0.00011,0.00011,0.00037,0.00024,0.00034,0.00017,0.00022,0.00021,5e-05,0.00023,0.00015,0.00074,4e-05,0.00052,1e-05,9e-05,9e-05,0
"122","haib17CEM5106_HCCGHCCXY_SL270211",0.00193,0.00649,0.00077,0.00085,0.00133,0.0011,0.01339,0.00155,0.00178,6e-04,0.00104,0.01046,0.00078,0.00014,0.00259,1e-04,0.00109,0.00606,0.00032,0.00021,0.00632,0.00101,0.00042,8e-05,0.00627,9e-05,0.00101,0.00119,0.00215,3e-05,0.00012,0.01462,2e-05,0.00042,0.00046,0.00033,0.00047,0.00087,0.00108,0.01499,0.00213,0.00091,0.00581,0.00051,0.00171,0.00078,0.0036,0.00147,0.00038,0.0013,0.00099,3e-04,0.00015,0.00054,5e-05,3e-04,0.00125,0.00019,0.00041,0.00067,0.00052,0.00046,0.00059,6e-05,0.00255,6e-05,2e-05,0.00031,0,0.00062,0.00082,0.00082,0,0.00064,0.00081,0.00063,0.00048,0.00251,0.00171,0.00019,0.00036,8e-05,0.00074,0.00159,3e-05,4e-04,0.00058,4e-05,0.00106,0.00065,4e-05,0.00132,0.00021,0.00022,0.00041,0.0013,0.00055,0.00013,0.00073,0.00021,0.00016,0.00031,0.00031,3e-05,0.001,0,0.00021,7e-05,0.00127,6e-04,0,0.00011,0,0.00085,0.00043,0.00104,5e-05,0.00031,0.00015,9e-05,0.00045,0.002,0.00016,0.00027,5e-04,0.00126,0,0.00052,0.00022,5e-05,1e-04,0,0.00047,0.00057,0.00026,0.00014,6e-05,0.00092,5e-05,0.00058,0.00036,6e-05,0.00032,0.00035,0.00022,8e-05,2e-05,0.00039,1e-05,0.00028,0.00082,0.00023,4e-05,0.00029,7e-05,2e-05,0.00013,5e-05,0.00013,2e-05,0.00043,0.00018,0.00024,0.00014,1e-05,0.00016,0.00102,0.00015,0,0,5e-05,0.00013,4e-05,1e-05,1e-04,1e-04,5e-05,0.00014,2e-04,0.00035,9e-05,1e-05,7e-05,6e-05,0.00016,0.00037,0.00016,6e-05,9e-05,0.00016,3e-05,0.00013,0,0.00037,0,0.00028,2e-05,5e-05,1e-04,0
"123","haib17CEM5106_HCCGHCCXY_SL270217",0.00045,0.00147,0.00048,0.00021,0.00067,0.00041,0.0035,2e-04,7e-04,0.00042,9e-04,0.00067,0.00087,8e-05,0.00092,0.00018,0.00035,0.01852,0.00026,0.00018,0.00247,0.00129,0.00019,0,0.00455,0,0.00041,0.00103,7e-05,4e-05,3e-05,0.00495,0,9e-05,0.00018,1e-04,0.00071,0.00025,0.00093,0.00134,0.00083,0.0011,0.00125,0.00035,0.00057,0.00081,0.00178,0.00107,0.00036,0.00062,4e-04,0.00016,0.00015,0.00044,9e-05,0.00016,0.00075,1e-04,0.00044,0.00032,0.00049,4e-04,0.00012,0,0.00163,5e-05,0,0.00031,0,0.00027,0.00269,8e-04,0,0.00062,0.00031,0.00034,0.00022,0.00144,0.00075,0.00013,4e-04,7e-05,2e-04,0.00152,0,0.00035,7e-05,9e-05,0.00059,0.00033,0.00046,0.00112,2e-04,5e-05,4e-05,0.02596,4e-04,0.00166,0.00039,5e-05,0.00013,0.00039,0.00225,1e-05,0.00062,3e-05,7e-05,2e-05,0.00015,0.00063,0,0,0,0.00067,0.00017,0.00053,1e-05,0.00024,0.00015,2e-04,0.00029,0.00127,0.00038,0.00035,0.00039,0.00019,0,0.00021,0.00013,0.00013,7e-05,0,0.00038,0.00089,2e-04,2e-05,0.00124,0.00022,9e-05,8e-05,0.00012,6e-05,8e-05,0.00025,0.00014,6e-05,0,0.00053,0,2e-04,0.00119,6e-04,5e-05,0.00029,6e-05,0,0.00042,9e-05,1e-04,3e-05,0.00068,0.00036,0.00033,0.00022,0,0.00022,0.00026,0.00025,1e-05,0,4e-05,6e-05,2e-05,0,9e-05,0.00016,0.00012,2e-05,4e-05,2e-04,8e-05,0,0.00013,2e-05,0.00021,0.00021,0.00038,3e-05,3e-05,6e-05,0,9e-05,8e-05,0.00023,5e-05,0.00024,7e-05,0.00043,6e-05,3e-05
"124","haib17CEM5106_HCCGHCCXY_SL270222",0.00039,0.00149,0.00014,0.00012,0.00037,1e-04,0.00166,0.00037,0.00067,7e-05,0.00053,0.00234,0.00047,0.00021,0.00053,0.00013,7e-05,0.00098,0.00031,8e-05,0.00273,7e-04,0.00013,0.00025,0.00173,0,0.00034,3e-04,0.00012,0.00012,5e-05,0.0083,1e-04,7e-05,0.00015,0.00038,9e-05,0.00109,0.00116,0.00259,0.00116,0.00077,0.00192,0.00032,5e-04,5e-04,0.00326,0.00351,0.00035,0.00102,0.00026,0.00013,0.00016,0.00035,4e-05,0.00018,0.00051,0.00029,0.00019,0.00048,0.00012,5e-04,0.00074,2e-05,0.00272,3e-05,4e-05,2e-04,0,2e-04,0.00015,0.00049,0,0.00037,0.00014,0.00017,0.00026,0.00254,0.00034,0.00014,0.00018,9e-05,0.00028,0.00044,0,0.00029,0.00014,9e-05,0.00037,0.00051,0,0.00197,0.00014,9e-05,1e-04,0.00027,0.00043,0.00011,0.00053,0.00012,0.00014,8e-05,0.00016,8e-05,0.00041,0,3e-04,0,1e-04,0.00073,2e-05,0,0,0.00017,1e-04,4e-04,5e-05,0.00016,0.00013,1e-04,0.00035,0.00182,0.00012,1e-04,0.00026,8e-05,0,0.00014,7e-05,0,7e-05,7e-05,0.00056,0.00029,4e-05,8e-05,5e-05,0.00026,0,8e-05,0.00014,1e-05,6e-05,0.00028,0.00022,7e-05,0,0.00025,0,0.00024,0.00049,0.00018,2e-05,0.00015,3e-05,0,0,6e-05,0.00016,0,7e-05,7e-05,0.00011,6e-05,0,0,0.00033,0,0,0.00012,2e-05,3e-05,5e-05,0,8e-05,7e-05,4e-05,8e-05,5e-05,0.00018,6e-05,0,1e-05,4e-05,0.00016,7e-05,5e-05,0,0,6e-05,0.00015,4e-05,4e-05,9e-05,0,0.00017,0,0,0,0
"125","haib17CEM5106_HCCGHCCXY_SL270228",0.00091,0.00526,0.00048,0.00028,0.00062,0.00069,0.00266,0.00077,0.00186,0.00012,0.00045,7e-04,0.00046,0.00022,0.00256,0.00025,0.00075,0.00096,0.00022,4e-05,0.00215,0.00181,0.00031,0,0.00404,0,0.00025,0.00087,4e-05,1e-04,6e-05,0.0043,7e-05,9e-05,0.00018,0.00018,0.00012,0.00045,0.00055,0.00231,0.00147,0.00148,0.00204,0.00024,0.00051,0.00168,0.00168,8e-04,5e-05,0.00038,0.00054,0.00103,9e-05,0.00015,5e-05,0.00021,0.00104,0.00017,0.00024,0.00034,0.00028,0.00027,0.00016,0,0.00114,3e-05,0,0.00049,0,7e-05,0.00056,0.0016,0,4e-04,0.00043,0.00044,0.00018,0.00131,3e-04,0,0.00054,4e-05,0.00052,0.00057,0,0.00018,0.00015,0,0.00013,0.00021,0,0.00111,8e-05,4e-05,0.00025,0.00043,0.00023,8e-05,0.00025,8e-05,0,0.00015,0.00011,0,5e-04,3e-05,0.00093,5e-05,0.00021,0.00048,0,0,0,0.00065,0.00021,0.00036,3e-05,0.00026,0,5e-05,0.00047,0.00095,2e-05,0.00018,7e-05,0.00018,0,0.00037,0.00024,0,0,0,0.00028,2e-04,0.00014,0.00012,0,0.00028,0,0.00011,0.00015,6e-05,0.00012,0.00015,0.00037,0.00012,0,0.00013,0,0.00014,0.00041,0.00014,0.00011,0.00015,5e-05,0,5e-05,8e-05,1e-04,0,0.00015,0,0.00013,6e-05,0,0,0.00065,6e-05,0,0,0,2e-05,2e-05,0,2e-05,8e-05,7e-05,8e-05,4e-05,0.00028,3e-05,0,0,3e-05,0.00016,2e-05,0.00011,0,6e-05,5e-05,0,0.00018,2e-05,0.00019,0,7e-05,0,0,5e-05,0
"126","haib17CEM5106_HCCGHCCXY_SL270234",0.00344,0.00321,0.00046,9e-05,0.00077,0.00054,0.00202,2e-04,8e-04,0.00027,0.00166,0.00091,0.0091,0.00361,0.00076,0.00704,0.00132,0.00237,0.00176,0.00011,0.00125,0.01278,2e-04,0.00101,0.00266,0,0.00074,0.0019,0.00137,0.00013,5e-05,0.00273,2e-05,0.00012,0.00046,0.00223,0.00029,0.00019,0.0081,0.00164,0.00183,0.00964,0.00175,0.00197,0.00036,0.0087,0.01224,0.00749,0.00116,0.0031,0.00033,1e-04,0.00079,0.0025,6e-05,0.00121,0.0015,0.0017,0.00166,0.00195,0.00191,0.00192,0.00262,0,0.01239,4e-05,3e-05,0.00251,0.00053,0.00123,0.00024,0.00504,0,0.00154,0.00153,0.00118,0.00179,0.0119,0.00166,8e-04,0.00142,1e-04,0.00078,0.00485,0,0.00144,0.00026,0.00014,0.00331,0.00302,7e-05,0.00884,0.00057,0.00062,0.00011,0.00201,0.00251,0.00054,0.00681,0.00028,0.00044,0.00031,0.00097,0.00021,0.00041,1e-04,1e-04,0.00053,0.00093,0.00433,8e-05,0.00015,0.00013,0.00645,0.00027,0.00112,0,0.00163,0.00066,0.00021,0.00033,0.00993,0.00074,0.00146,0.00119,1e-04,0,0.00084,0.00019,0.00057,0.00061,0.00016,0.00264,0.0019,0.00104,9e-05,0.00036,0.00308,0,3e-05,0.00138,1e-05,0.00097,0.00198,0.00216,0.00015,0,0.00163,0,0.00125,0.00237,0.0016,7e-05,0.00115,0.00017,0.00016,0.00031,7e-05,0.00118,3e-05,0.00122,0.00077,0.00118,8e-04,0.00014,5e-04,0.00044,0.00036,3e-05,0,9e-05,0.00069,0.00032,1e-05,1e-04,0.00021,0.00052,0.00074,0.00021,6e-05,0.00029,0,0.00018,0.00012,0.00075,0.00087,6e-04,3e-04,2e-05,4e-05,0.00016,0.00011,0.00021,0.00149,8e-05,0.00147,2e-05,0.00015,0.00013,0
